Date,Open*,Single_day_Increase(%),Sixty_Days_Increase(%)
2014-12-8,374.96,0.032,9.3227
2014-12-9,361.89,-3.4857,2.4522
2014-12-10,352.2,-2.6776,0.6877
2014-12-11,344.34,-2.2317,-1.8899
2014-12-12,350.83,1.8848,-4.2273
2014-12-13,352.38,0.4418,-7.4291
2014-12-14,346.73,-1.6034,-11.3966
2014-12-15,351.36,1.3353,-8.4576
2014-12-16,345.67,-1.6194,-7.0962
2014-12-17,326.86,-5.4416,-12.8565
2014-12-18,319.79,-2.163,-16.9128
2014-12-19,311.18,-2.6924,-19.0889
2014-12-20,317.62,2.0695,-15.2698
2014-12-21,329.54,3.7529,-12.4844
2014-12-22,321.07,-2.5702,-14.2362
2014-12-23,332.02,3.4105,-4.4621
2014-12-24,334.39,0.7138,-3.7539
2014-12-25,322.29,-3.6185,-4.2715
2014-12-26,319.15,-0.9743,-7.3437
2014-12-27,327.58,2.6414,-4.2598
2014-12-28,316.16,-3.4862,-8.8445
2014-12-29,317.7,0.4871,-2.3701
2014-12-30,312.72,-1.5675,-6.7078
2014-12-31,310.91,-0.5788,-5.4432
2015-1-1,320.43,3.062,1.3306
2015-1-2,314.08,-1.9817,-0.4947
2015-1-3,314.85,0.2452,-0.7379
2015-1-4,281.15,-10.7035,-12.5173
2015-1-5,265.08,-5.7158,-20.8882
2015-1-6,274.61,3.5951,-20.345
2015-1-7,286.08,4.1768,-13.9756
2015-1-8,294.14,2.8174,-12.1022
2015-1-9,282.38,-3.9981,-20.9906
2015-1-10,287.3,1.7423,-20.2393
2015-1-11,274.61,-4.417,-25.2358
2015-1-12,266.15,-3.0807,-44.4288
2015-1-13,267.39,0.4659,-41.8916
2015-1-14,223.89,-16.2684,-53.6741
2015-1-15,176.9,-20.988,-68.4266
2015-1-16,209.07,18.1854,-53.8758
2015-1-17,207.83,-0.5931,-54.3247
2015-1-18,200.05,-3.7434,-54.4863
2015-1-19,211.47,5.7086,-50.4921
2015-1-20,212.91,0.6809,-43.9134
2015-1-21,211.38,-0.7186,-42.8772
2015-1-22,227.32,7.5409,-35.7828
2015-1-23,233.52,2.7274,-36.9572
2015-1-24,232.7,-0.3511,-40.0171
2015-1-25,247.35,6.2957,-33.4906
